field_id,catalog_version,field_name,page_name,section_name_en,section_name_fr,section_order,panel_name,panel_suffix,point_type,mitigation_phase,answer_type,is_mandatory,visible_if,option_count,max_points,text_en,text_fr,guidance_en,guidance_fr,question_uid,parent_field_name,root_field_name,chain_depth,section_uid,match_method,match_score,needs_review,parent_question_uid,root_question_uid
12,0.3,question10-other,decision-sector,About The Decision,À propos de la décision,4,panel-decision-RS,RS,raw,,comment,N,"{question10} contains [""item6-1""]",0,0,Please describe,S'il vous plait décrire,,,8,question10,question10,1,4,text_global,0.783,Y,11,11
21,0.3,question14,impact,Impact Assessment,Évaluation de l'incidence,5,panel-impact-RS,RS,raw,,dropdown,N,,4,0,"The impacts that the decision will have on the health and well-being of individuals or communities, will likely be:",Les incidences de la décision sur la santé et le bien-être des personnes ou des collectivités seront probablement les suivantes :,,,18,,question14,0,5,text_and_parent,0.843,Y,,18
23,0.3,question16,impact,Impact Assessment,Évaluation de l'incidence,5,panel-impact-RS,RS,raw,,dropdown,N,,4,0,"The impacts that the decision will have on the economic interests of individuals or communities, will likely be:",Les incidences de la décision sur les intérêts économiques des personnes ou des collectivités seront probablement les suivantes :,,,18,,question16,0,5,text_and_parent,0.882,Y,,18
34,0.3,question31,data,About The Data,À propos des données,6,data-source-RS,RS,raw,,dropdown,N,,4,0,Who collected the input data used by the system?,Qui a recueilli les données d’entrée utilisées par le système?,,,26,,question31,0,6,text_and_parent,0.796,Y,,26
12,0.4,sector-categories-other,decision-sector,About The Decision,À propos de la décision,4,panel-decision-RS,RS,raw,,comment,N,"{sector-categories} contains [""item6-1""]",0,0,Please describe,S'il vous plait décrire,,,8,sector-categories,sector-categories,1,4,text_global,0.783,Y,11,11
54,0.5,consultation-implementation2-NS,rm-consultation-implementation,Consultations,,12,rm-consultation-implementation-MS,MS,mitigation,implementation,checkbox,N,"{consultation-implementation1} = ""item1-1""",7,0,Which Internal Stakeholders have you engaged?,Quels intervenants internes avez-vous consulté?,,,62,consultation-implementation1,consultation-implementation1,1,14,text_global,0.896,Y,61,61
56,0.5,consultation-implementation4-NS,rm-consultation-implementation,Consultations,,12,rm-consultation-implementation-MS,MS,mitigation,implementation,checkbox,N,"{consultation-implementation3} = ""item1-1""",3,0,Which External Stakeholders have you engaged?,Quels intervenants externes avez-vous consulté?,,,64,consultation-implementation3,consultation-implementation3,1,14,text_global,0.896,Y,63,63
68,0.5,question62,rm-data-quality-implementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,14,panel1,,none,,radiogroup,N,,2,0,Is this information publicly available?,Cette information est-elle publiquement disponible?,,,66,,question62,0,16,text_global,0.787,Y,,66
69,0.5,question2,rm-data-quality-implementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,14,panel1,,none,,radiogroup,N,,2,0,Have you developed a process to document how data quality issues were resolved during the design process?,Avez-vous élaboré un processus permettant de documenter la façon dont les problèmes de qualité des données qui seront résolus pendant le processus de conception?,,,30,,question2,0,16,text_global,0.82,Y,,30
70,0.5,question63,rm-data-quality-implementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,14,panel1,,none,,radiogroup,N,,2,0,Is this information publicly available?,Cette information est-elle publiquement disponible?,,,66,,question63,0,16,text_global,0.787,Y,,66
72,0.5,question64,rm-data-quality-implementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,14,panel1,,none,,radiogroup,N,,2,0,Is this information publicly available?,Cette information est-elle publiquement disponible?,,,66,,question64,0,16,text_global,0.787,Y,,66
75,0.5,question65,rm-data-quality-implementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,14,panel1,,none,,radiogroup,N,,2,0,Is this information publicly available?,Cette information est-elle publiquement disponible?,,,66,,question65,0,16,text_global,0.787,Y,,66
76,0.5,question6,rm-data-quality-implementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,14,panel1,,none,,radiogroup,N,,2,0,Is the data used for this system posted on the Open Government Portal?,Les données utilisées pour ce système seront-elles affichées sur la portail du gouvernement ouvert?,,,34,,question6,0,16,text_global,0.803,Y,,34
90,0.5,question9,rm-fairness-implementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,16,panel2,,mitigation,implementation,radiogroup,N,,2,0,Do you maintain a current and up to date log detailing all of the changes made to the model and the system?,Tenez-vous un registre à jour détaillant toutes les modifications apportées au modèle et au système?,,,36,,question9,0,18,text_global,0.878,Y,,36
91,0.5,question10,rm-fairness-implementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,16,panel2,,mitigation,implementation,radiogroup,N,,2,0,Does the system's audit trail clearly indicate all decision points made by the system?,La piste de vérification énonce-t-elle clairement tous les points de décision pris par le système?,,,68,,question10,0,18,text_and_parent,0.793,Y,,68
93,0.5,question12,rm-fairness-implementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,16,panel2,,mitigation,implementation,radiogroup,N,,2,0,Is the system be able to produce reasons for its decisions or recommendations when required?,"Le système justifie-t-il ses décisions ou ses recommandations, au besoin?",,,39,,question12,0,18,text_global,0.913,Y,,39
100,0.5,question58,rm-fairness-implementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,16,panel2,,mitigation,implementation,radiogroup,N,,2,0,Has your concept case been approved by the Government of Canada Enterprise Architecture Review Baord?,Votre dossier conceptuel pour le Conseil d’examen de l’architecture intégrée du gouvernement du Canada a-t-il été approuvé?,,,46,,question58,0,18,text_global,0.853,Y,,46
22,0.6,decisionSector2,decisionSector,About The Decision,À propos de la décision,8,decisionSectorPanel-RS,RS,raw,,comment,N,"{decisionSector1} contains [""item6-1""]",0,0,Please describe,S'il vous plait décrire,,,8,decisionSector1,decisionSector1,1,4,text_global,0.783,Y,11,11
35,0.6,impact13,impact,Impact Assessment,Évaluation de l'incidence,9,impactPanel-RS,RS,raw,,dropdown,N,,4,4,The impacts that the decision will have on the economic interests of individuals will likely be:,Les incidences de la décision sur les intérêts économiques des personnes seront probablement les suivantes :,,,69,,impact13,0,5,text_and_parent,0.839,Y,,69
43,0.6,aboutDataSource5,aboutData,About The Data,À propos des données,10,aboutDataSourcePanel-RS,RS,raw,,radiogroup,N,,2,4,"Will the system require input data from an Internet- or telephony-connected device? (e.g. Internet of Things, sensor)","Le système aura-t-il besoin de données d’entrée provenant d’un appareil connecté à Internet ou à la téléphonie? (P. ex., internet des objets, un Capteur)",,,24,,aboutDataSource5,0,19,text_global,0.907,Y,,24
46,0.6,aboutDataSource8,aboutData,About The Data,À propos des données,10,aboutDataSourcePanel-RS,RS,raw,,dropdown,N,,4,4,Who collected the input data used by the system?,Qui a recueilli les données d’entrée utilisées par le système?,,,26,,aboutDataSource8,0,19,text_global,0.796,Y,,26
54,0.6,consultationImplementation2-NS,consultationImplementation,Consultations,,12,consultationImplementationPanel-MS,MS,mitigation,implementation,checkbox,N,"{consultationImplementation1} = ""item1-1""",7,0,Which Internal Stakeholders have you engaged?,Quels intervenants internes avez-vous consulté?,,,62,consultationImplementation1,consultationImplementation1,1,21,text_global,0.896,Y,61,61
56,0.6,consultationImplementation4-NS,consultationImplementation,Consultations,,12,consultationImplementationPanel-MS,MS,mitigation,implementation,checkbox,N,"{consultationImplementation3} = ""item1-1""",3,0,Which External Stakeholders have you engaged?,Quels intervenants externes avez-vous consulté?,,,64,consultationImplementation3,consultationImplementation3,1,21,text_global,0.896,Y,63,63
59,0.6,dataQualityDesign3,dataQualityDesign,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,13,dataQualityDesignPanel-MS,MS,mitigation,design,radiogroup,N,,2,1,Will you be developing a process to document how data quality issues were resolved during the design process?,Allez-vous élaborer un processus permettant de documenter la façon dont les problèmes de qualité des données qui seront résolus pendant le processus de conception?,,,30,,dataQualityDesign3,0,22,text_global,0.814,Y,,30
66,0.6,dataQualityDesign10,dataQualityDesign,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,13,dataQualityDesignPanel-MS,MS,mitigation,design,radiogroup,N,,2,0,Will the data used for this system be posted on the Open Government Portal?,Les données utilisées pour ce système seront-elles affichées sur la portail du gouvernement ouvert?,,,34,,dataQualityDesign10,0,22,text_global,0.835,Y,,34
68,0.6,dataQualityImplementation2,dataQualityImplementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,14,dataQualityImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,0,Is this information publicly available?,Cette information est-elle publiquement disponible?,,,66,,dataQualityImplementation2,0,23,text_global,0.787,Y,,66
69,0.6,dataQualityImplementation3,dataQualityImplementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,14,dataQualityImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,1,Have you developed a process to document how data quality issues were resolved during the design process?,Avez-vous élaboré un processus permettant de documenter la façon dont les problèmes de qualité des données qui seront résolus pendant le processus de conception?,,,30,,dataQualityImplementation3,0,23,text_global,0.82,Y,,30
70,0.6,dataQualityImplementation4,dataQualityImplementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,14,dataQualityImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,0,Is this information publicly available?,Cette information est-elle publiquement disponible?,,,66,,dataQualityImplementation4,0,23,text_global,0.787,Y,,66
72,0.6,dataQualityImplementation6,dataQualityImplementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,14,dataQualityImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,0,Is this information publicly available?,Cette information est-elle publiquement disponible?,,,66,,dataQualityImplementation6,0,23,text_global,0.787,Y,,66
75,0.6,dataQualityImplementation9,dataQualityImplementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,14,dataQualityImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,0,Is this information publicly available?,Cette information est-elle publiquement disponible?,,,66,,dataQualityImplementation9,0,23,text_global,0.787,Y,,66
76,0.6,dataQualityImplementation10,dataQualityImplementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,14,dataQualityImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Is the data used for this system posted on the Open Government Portal?,Les données utilisées pour ce système seront-elles affichées sur la portail du gouvernement ouvert?,,,34,,dataQualityImplementation10,0,23,text_global,0.803,Y,,34
77,0.6,fairnessDesign1,fairnessDesign,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,15,fairnessDesignPanel-MS,MS,mitigation,design,radiogroup,N,,2,2,Will the system provide an audit trail that records all the recommendations or decisions made by the system?,Est-ce que le système fournira une piste de vérification qui enregistre les recommandations ou les décisions?,,,68,,fairnessDesign1,0,24,text_global,0.836,Y,,68
