og_record_id,title_en,title_fr,department_en,department_fr,department_code,record_released,record_modified,date_published,keywords,homepage,portal_url_en,portal_url_fr,resource_count,submission_count_estimate,has_json
b8a34d1b-d27f-4506-973c-d2ea2f68c623,Algorithmic Impact Assessment - CBSA Traveller Compliance Indicator,Évaluation de l'incidence algorithmique - Indicateur de conformité de l'ASFC,Canada Border Services Agency,Agence des services frontaliers du Canada,cbsa-asfc,2026-08-18,2026-08-18,2026-08-14 00:00:00,aia; algorithmic; automated decision making; algorithmic impact assessment; border; automation; TCI; traveller compliance; traveller compliance indicator,,https://open.canada.ca/data/en/dataset/b8a34d1b-d27f-4506-973c-d2ea2f68c623,https://open.canada.ca/data/fr/dataset/b8a34d1b-d27f-4506-973c-d2ea2f68c623,4,1,N
380f8da2-a18e-4747-a29f-7775450b7283,Algorithmic Impact Assessment – Internal Activity and Access Monitoring,Évaluation de l’impact algorithmique - Surveillance de l’activité interne et des accès,Employment and Social Development Canada,Emploi et Développement social Canada,esdc-edsc,2025-11-06,2026-06-22,2025-10-21 00:00:00,algorithmic impact assessment; AIA; Internal Activity; Access Monitoring,,https://open.canada.ca/data/en/dataset/380f8da2-a18e-4747-a29f-7775450b7283,https://open.canada.ca/data/fr/dataset/380f8da2-a18e-4747-a29f-7775450b7283,3,1,Y
92d7bc61-3724-44cd-9917-e2bf75023d4e,Algorithmic Impact Assessment - LMIA Summary of Information,Évaluation de l'incidence algorithmique - Résumé des informations sur le EIMT,Employment and Social Development Canada,Emploi et Développement social Canada,esdc-edsc,2025-10-02,2026-06-22,2025-09-29 00:00:00,temporary foreign worker program; tfwp; algorithmic impact assessment; AIA,,https://open.canada.ca/data/en/dataset/92d7bc61-3724-44cd-9917-e2bf75023d4e,https://open.canada.ca/data/fr/dataset/92d7bc61-3724-44cd-9917-e2bf75023d4e,4,1,Y
94d9dd91-803a-458c-a381-db6a22c9571a,Algorithmic Impact Assessment - Electronic Social Insurance Number Automation (eSINa),Évaluation de l'incidence algorithmique - Automatisation du numéro d’assurance sociale électronique (aNASe),Employment and Social Development Canada,Emploi et Développement social Canada,esdc-edsc,2025-10-02,2026-06-22,2025-09-29 00:00:00,esin; sin; algorithmic impact assessment; AIA,,https://open.canada.ca/data/en/dataset/94d9dd91-803a-458c-a381-db6a22c9571a,https://open.canada.ca/data/fr/dataset/94d9dd91-803a-458c-a381-db6a22c9571a,4,1,Y
6ca819ed-dfde-4c4e-ac6b-831310825b03,"GC HR and Pay - Algorithmic Impact Assessment (AIA), Compensation Virtual Assistant (CVA)","GC HR et Paye - L’évaluation de l’incidence algorithmique, l’Assistant virtuel de rémunération (AVR)",Public Services and Procurement Canada,Services publics et Approvisionnement Canada,pwgsc-tpsgc,2026-03-27,2026-05-21,2026-03-27 00:00:00,Human Resources; HR; pay; GC HR and Pay; Phoenix; integrated strategy; AI; AIA; Artificial Intelligence; Algorithmic Impact Assessment,,https://open.canada.ca/data/en/dataset/6ca819ed-dfde-4c4e-ac6b-831310825b03,https://open.canada.ca/data/fr/dataset/6ca819ed-dfde-4c4e-ac6b-831310825b03,3,1,Y
d5b89acc-5f2a-435d-b8f5-18002ba24c2a,Algorithmic Impact Assessment - Non-Competitive Local Licensing Process (NCLL),Évaluation d'incidence algorithmique - Licences non concurrentielles locales (LNCL),"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ic,2026-05-21,2026-05-21,2025-09-18 00:00:00,Algorithmic Impact Assessment; AIA; Non-Competitive Local Licensing Process; NCLL; NCL; Spectrum,,https://open.canada.ca/data/en/dataset/d5b89acc-5f2a-435d-b8f5-18002ba24c2a,https://open.canada.ca/data/fr/dataset/d5b89acc-5f2a-435d-b8f5-18002ba24c2a,3,1,Y
daa9ca66-566f-4c2e-a285-d2e217c2a00f,Algorithmic Impact Assessment - Record of Employments (ROE) Comments Assessment,Évaluation d'impact algorithmique - Évaluation des commentaires des RE,Employment and Social Development Canada,Emploi et Développement social Canada,esdc-edsc,2022-01-13,2026-04-09,2021-08-18 00:00:00,Employment Insurance; EI; Machine Learning; Natural Language Processing,,https://open.canada.ca/data/en/dataset/daa9ca66-566f-4c2e-a285-d2e217c2a00f,https://open.canada.ca/data/fr/dataset/daa9ca66-566f-4c2e-a285-d2e217c2a00f,3,1,Y
452e10be-383d-4d7a-9c7d-6484dc366a4a,Study Permit Extension Eligibility Model,Modèle de recevabilité à la prolongation du permis d'études,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",cic,2025-11-12,2026-03-31,2025-11-12 00:00:00,Algorithmic Impact Assessment; AIA; Automation; Immigration; IRCC; Study Permit Extension Eligibility Model; GBA+; Gender-based Analysis Plus; GBA Plus,,https://open.canada.ca/data/en/dataset/452e10be-383d-4d7a-9c7d-6484dc366a4a,https://open.canada.ca/data/fr/dataset/452e10be-383d-4d7a-9c7d-6484dc366a4a,5,1,Y
c839bedc-0d5f-4b02-98a7-671d1f60ac51,Algorithmic Impact Assessment - Claim Summary Tool (CST),Résultats de l'évaluation de l'incidence algorithmique - Outil de Résumé de la Demande d'Indemnité d'Invalidité (ORDII),Veterans Affairs Canada,Anciens Combattants Canada,vac-acc,2026-02-23,2026-03-12,2026-02-17 00:00:00,Algorithmic Impact Assessment; Claim Summary Tool; CST; Veterans Affairs Canada; VAC; VAC Disability Benefit applications,,https://open.canada.ca/data/en/dataset/c839bedc-0d5f-4b02-98a7-671d1f60ac51,https://open.canada.ca/data/fr/dataset/c839bedc-0d5f-4b02-98a7-671d1f60ac51,4,1,N
eaeb269c-6ac5-4429-a5aa-1fcc07c77933,Algorithmic Impact Assessment - Client Reporting and Engagement System (CRES)/ReportIn,Évaluation d’incidence algorithmique - Système de Rapports et d’engagement des Clients (SREC)/JeMePrésente,Canada Border Services Agency,Agence des services frontaliers du Canada,cbsa-asfc,2024-11-13,2026-02-02,2024-11-12 00:00:00,aia; algorithmic; automated decision making; automation; algorithmic impact assessment; smartphone; application; border; technology; mobile device; facial recognition; biometrics; authentication; identity,,https://open.canada.ca/data/en/dataset/eaeb269c-6ac5-4429-a5aa-1fcc07c77933,https://open.canada.ca/data/fr/dataset/eaeb269c-6ac5-4429-a5aa-1fcc07c77933,6,1,Y
