point_profile_id,option_set_id,option_index,option_value,points
1,1,0,item1-3,3
1,1,1,item2-0,0
2,1,0,item1-4,4
2,1,1,item2-0,0
3,1,0,item1-2,2
3,1,1,item2-0,0
4,1,0,item1-0,0
4,1,1,item2-1,1
5,2,0,item1-0,0
5,2,1,item2-1,1
5,2,2,item3-2,2
5,2,3,item4-3,3
5,2,4,item5-4,4
6,3,0,item1-0,0
6,3,1,item2-1,1
6,3,2,item3-2,2
6,3,3,item4-3,3
7,4,0,item1-1,1
7,4,1,item2-2,2
7,4,2,item3-3,3
7,4,3,item4-4,4
8,1,0,item1-0,0
8,1,1,item2-4,4
9,1,0,item1,0
9,1,1,item2,0
10,5,0,item1-2,2
10,5,1,item2-4,4
11,6,0,item1,0
11,6,1,item2,0
11,6,2,item3,0
11,6,3,item4,0
11,6,4,item5,0
11,6,5,item6,0
12,7,0,item1,0
12,7,1,item2,0
12,7,2,item3,0
12,7,3,item4,0
12,7,4,item5,0
12,7,5,item6,0
13,8,0,item1-3,3
13,8,1,item2-2,2
13,8,2,item3-0,0
13,8,3,item4-0,0
13,8,4,item5-0,0
13,8,5,item6-0,0
14,9,0,item1-2,2
14,9,1,item2-1,1
14,9,2,item3-0,0
15,1,0,item1-1,1
15,1,1,item2-0,0
16,10,0,item2,0
16,10,1,item3,0
16,10,2,item4,0
16,10,3,item5,0
16,10,4,item6,0
16,10,5,item7,0
16,10,6,item8,0
16,10,7,item10,0
16,10,8,item11,0
16,10,9,item12,0
16,10,10,item13,0
16,10,11,item14,0
16,10,12,item15,0
16,10,13,item16,0
16,10,14,item17,0
16,10,15,item9,0
17,11,0,item2,0
17,11,1,item7,0
17,11,2,item8,0
17,11,3,item11,0
17,11,4,item12,0
17,11,5,item13,0
17,11,6,item14,0
17,11,7,item15,0
17,11,8,item9,0
18,12,0,item2,0
18,12,1,item3,0
18,12,2,item4,0
18,12,3,item5,0
18,12,4,item6,0
18,12,5,item7,0
18,12,6,item8,0
18,12,7,item10,0
18,12,8,item11,0
18,12,9,item12,0
18,12,10,item13,0
18,12,11,item14,0
18,12,12,item15,0
18,12,13,item16,0
18,12,14,item17,0
18,12,15,item9,0
19,13,0,item1-1,1
19,13,1,item2-1,1
19,13,2,item3-1,1
19,13,3,item4-1,1
19,13,4,item5-1,1
19,13,5,item7-1,1
19,13,6,item6-1,1
20,14,0,item1-1,1
20,14,1,item2-2,2
20,14,2,item3-3,3
20,14,3,item4-4,4
21,15,0,item1-4,4
21,15,1,item2-2,2
22,16,0,item1-1,1
22,16,1,item2-2,2
22,16,2,item3-3,3
22,16,3,item4-4,4
23,17,0,item1-1,1
23,17,1,item2-2,2
23,17,2,item3-3,3
23,17,3,item4-4,4
24,18,0,item1,0
24,18,1,item2,0
25,19,0,item1-1,1
25,19,1,item2-1,1
25,19,2,item3-1,1
25,19,3,item4-1,1
25,19,4,item5-1,1
25,19,5,item6-1,1
26,1,0,4,0
26,1,1,0,0
27,20,0,1,0
27,20,1,2,0
27,20,2,3,0
27,20,3,4,0
28,16,0,1,0
28,16,1,2,0
28,16,2,3,0
28,16,3,4,0
29,21,0,1,0
29,21,1,2,0
29,21,2,3,0
29,21,3,4,0
30,2,0,0,0
30,2,1,1,0
30,2,2,2,0
30,2,3,3,0
30,2,4,4,0
31,3,0,0,0
31,3,1,1,0
31,3,2,2,0
31,3,3,3,0
32,4,0,1,0
32,4,1,2,0
32,4,2,3,0
32,4,3,4,0
33,22,0,2,0
33,22,1,4,0
34,23,0,2,0
34,23,1,0,0
35,23,0,1,0
35,23,1,0,0
36,24,0,item1-1,1
36,24,1,item2-1,1
36,24,2,item3-1,1
36,24,3,item4-1,1
36,24,4,item5-1,1
36,24,5,item6-1,1
37,25,0,item1,0
37,25,1,item2,0
37,25,2,item3,0
37,25,3,item4,0
37,25,4,item5,0
37,25,5,item6-1,1
38,26,0,item1,0
38,26,1,item2,0
38,26,2,item3,0
38,26,3,item4,0
38,26,4,item5,0
38,26,5,item6-1,1
39,17,0,1,0
39,17,1,2,0
39,17,2,3,0
39,17,3,4,0
40,22,0,item1-2,2
40,22,1,item2-4,4
41,27,0,item1-1,1
41,27,1,item2-1,1
41,27,2,item3-1,1
41,27,3,item4-1,1
41,27,4,item5-1,1
41,27,5,item6-1,1
42,28,0,item2,0
42,28,1,item3,0
42,28,2,item4,0
42,28,3,item5,0
42,28,4,item6,0
42,28,5,item7,0
42,28,6,item8,0
43,29,0,item2,0
43,29,1,item7,0
43,29,2,item8,0
44,30,0,item1,0
44,30,1,item2,0
45,1,0,2,0
45,1,1,0,0
46,1,0,1,0
46,1,1,0,0
47,31,0,item1-1,1
47,31,1,item2-1,1
47,31,2,item3-1,1
47,31,3,item4-1,1
47,31,4,item5-1,1
47,31,5,item6-1,1
48,27,0,item1,0
48,27,1,item2,0
48,27,2,item3,0
48,27,3,item4,0
48,27,4,item5,0
48,27,5,item6,0
49,20,0,item1-1,1
49,20,1,item2-2,2
49,20,2,item3-3,3
49,20,3,item4-4,4
50,20,0,item1-1,1
50,20,1,item2-2,2
50,20,2,3,0
50,20,3,4,0
51,6,0,item1,0
51,6,1,item2,0
51,6,2,item3,0
51,6,3,item4,0
51,6,4,item5,0
51,6,5,item6-1,1
52,32,0,item2,0
52,32,1,item3,0
52,32,2,item4,0
52,32,3,item5,0
52,32,4,item6,0
52,32,5,item7,0
52,32,6,item8,0
52,32,7,item9,0
53,33,0,item2,0
53,33,1,item7,0
53,33,2,item8,0
53,33,3,item10,0
53,33,4,item9,0
54,34,0,item2,0
54,34,1,item3,0
54,34,2,item4,0
54,34,3,item5,0
54,34,4,item6,0
54,34,5,item7,0
54,34,6,item8,0
54,34,7,item9,0
55,35,0,item1,0
55,35,1,item2,0
56,1,0,item1-0,0
56,1,1,item2-2,2
57,36,0,item1-0,0
57,36,1,item2-1,1
58,37,0,item1-0,0
58,37,1,item2-1,1
59,38,0,item1-0,0
59,38,1,item2-1,1
60,39,0,item1-0,0
60,39,1,item2-1,1
60,39,2,item3-1,1
60,39,3,item4-3,3
60,39,4,item5-3,3
60,39,5,item6-1,1
61,40,0,item1-0,0
61,40,1,item2-2,2
61,40,2,item3-1,1
62,40,0,item1-2,2
62,40,1,item2-0,0
62,40,2,item3-1,1
63,41,0,item1-0,0
63,41,1,item2-2,2
63,41,2,item3-0,0
64,42,0,item1-0,0
64,42,1,item2-1,1
64,42,2,item4-3,3
64,42,3,item6-3,3
64,42,4,item3-2,2
64,42,5,item5-4,4
64,42,6,item7-4,4
64,42,7,item8-0,0
65,43,0,item1-1,1
65,43,1,item2-2,2
65,43,2,item3-3,3
66,1,0,item1-0,0
66,1,1,item2-0,0
67,44,0,item1,0
67,44,1,item2,0
67,44,2,item3,0
67,44,3,item4,0
67,44,4,item5,0
67,44,5,item6,0
