point_profile_id,option_set_id,points_pattern
1,1,3/0
2,1,4/0
3,1,2/0
4,1,0/1
5,2,0/1/2/3/4
6,3,0/1/2/3
7,4,1/2/3/4
8,1,0/4
9,1,0/0
10,5,2/4
11,6,0/0/0/0/0/0
12,7,0/0/0/0/0/0
13,8,3/2/0/0/0/0
14,9,2/1/0
15,1,1/0
16,10,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
17,11,0/0/0/0/0/0/0/0/0
18,12,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
19,13,1/1/1/1/1/1/1
20,14,1/2/3/4
21,15,4/2
22,16,1/2/3/4
23,17,1/2/3/4
24,18,0/0
25,19,1/1/1/1/1/1
26,1,0/0
27,20,0/0/0/0
28,16,0/0/0/0
29,21,0/0/0/0
30,2,0/0/0/0/0
31,3,0/0/0/0
32,4,0/0/0/0
33,22,0/0
34,23,0/0
35,23,0/0
36,24,1/1/1/1/1/1
37,25,0/0/0/0/0/1
38,26,0/0/0/0/0/1
39,17,0/0/0/0
40,22,2/4
41,27,1/1/1/1/1/1
42,28,0/0/0/0/0/0/0
43,29,0/0/0
44,30,0/0
45,1,0/0
46,1,0/0
47,31,1/1/1/1/1/1
48,27,0/0/0/0/0/0
49,20,1/2/3/4
50,20,1/2/0/0
51,6,0/0/0/0/0/1
52,32,0/0/0/0/0/0/0/0
53,33,0/0/0/0/0
54,34,0/0/0/0/0/0/0/0
55,35,0/0
56,1,0/2
57,36,0/1
58,37,0/1
59,38,0/1
60,39,0/1/1/3/3/1
61,40,0/2/1
62,40,2/0/1
63,41,0/2/0
64,42,0/1/3/3/2/4/4/0
65,43,1/2/3
66,1,0/0
67,44,0/0/0/0/0/0
68,45,1/2/3/4
69,46,0/0/1/1
70,47,0/1/2
71,48,0/0/0/0/0/0
72,49,2/0/0/0/0/0
73,50,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
74,51,0/0/0/0/0/0/0/0/0/0/0
75,52,3/0/0
76,53,0/0/0/0/0/0/0/0/0
77,54,0/0/0/0/0/0/0/0/0/0/0/0/0/0/0/0
78,41,2/0/1
79,55,1/1/1/1/1/1/1/1
80,41,2/0/0
81,56,1/1/1/1/1
82,57,3/0/2/2/1/3
83,58,0/0/0/0/0/0
84,59,4/2
85,60,1/2/3/4
86,61,0/0/4/4
