question_uid,canonical_text_en,canonical_text_fr,section_uid,point_type,answer_type,first_seen_version,last_seen_version,version_count,field_names,reworded,status,parent_question_uid,is_follow_up
1,Name of Respondent,Nom de la personne sondée,1,none,text,0.3,1.0.1,10,respondent; projectDetailsRespondent,N,active,,N
2,Job Title,Titre du poste,1,none,text,0.3,1.0.1,10,title; projectDetailsJob,N,active,,N
3,Department,Ministère,1,none,dropdown,0.3,1.0.1,10,department; department-NS; projectDetailsDepartment-NS,N,active,,N
4,Branch,Direction,1,none,text,0.3,1.0.1,10,branch; projectDetailsBranch,N,active,,N
5,Project Title,Titre du projet,1,none,text,0.3,1.0.1,10,project-title; projectDetailsTitle,N,active,,N
6,Please provide a project description:,Veuillez fournir une description du projet :,1,none,comment,0.3,1.0.1,10,description; projectDetailsDescription,N,active,,N
7,What is motivating your team to introduce automation into this decision-making process? (Check all that apply),Qu'est-ce qui motive votre équipe à introduire l'automatisation dans ce processus décisionnel? (Cochez toutes les réponses qui s'appliquent.),2,none,checkbox,0.3,1.0.1,10,question7; motivation; business1; businessDrivers1,N,active,,N
8,Please describe,S'il vous plait décrire,2,none,comment,0.3,1.0.1,18,question52; question10-other; motivation-other; sector-categories-other; decisionSector2,Y,active,7,Y
9,Please check which of the following capabilities apply to your system.,Veuillez indiquer laquelle des capacités suivantes s'applique à votre système.,3,none,checkbox,0.3,1.0.1,10,question9; capabilities; system1; aboutSystem1,N,active,,N
10,Please describe,S'il vous plait décrire,3,none,comment,0.3,1.0.1,10,question9-other; capabilities-other; aboutSystem2,Y,active,9,Y
11,Does the decision pertain to any of the categories below (check all that apply):,La décision s'applique-t-elle à l'une ou l'autre des catégories ci-dessous (*Cochez toutes les réponses qui s'appliquent) :,4,raw,checkbox,0.3,1.0.1,10,question10; sector-categories; decisionSector1,N,active,,N
12,Does the recommendation or decision made by the system include elements of discretion?,La recommandation ou la décision prise par le système comprend-elle des éléments d’appréciation?,5,raw,radiogroup,0.3,0.3,1,question11,N,retired,,N
13,Describe what is discretionary about the decision,Décrire en quoi la décision est discrétionnaire,5,raw,comment,0.3,0.3,1,question12,N,retired,12,Y
14,Is the system used by a different part of the organization than the ones who developed it?,Le système est-il utilisé par une partie de l’organisation différente de celle à laquelle appartiennent ceux qui l’ont développé?,5,raw,radiogroup,0.3,1.0.1,10,question8; impact5,N,active,,N
15,Are the impacts resulting from the decision reversible?,Les incidences découlant de la décision sont-elles réversibles?,5,raw,dropdown,0.3,1.0.1,10,question20; impact6,N,active,,N
16,How long will impacts from the decision last?,Combien de temps les incidences de la décision dureront-elles?,5,raw,dropdown,0.3,1.0.1,10,question21; impact7,N,active,,N
