catalog_version,page_name,section_name_en,section_name_fr,display_order,max_raw_points,max_mitigation_points,mitigation_phase,point_type
1.0.0,projectDetails,Project Details,Détails du projet,2,0,0,,none
1.0.0,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,5,0,,raw
1.0.0,riskProfile,Risk Profile,Profil de risque,4,15,0,,raw
1.0.0,projectAuthority,Project Authority,Autorité de projet,5,2,0,,raw
1.0.0,aboutSystem,About The System,À propos du système,6,17,0,,raw
1.0.0,aboutAlgorithm,About the Algorithm,À propos de l'algorithme,7,15,0,,raw
1.0.0,decisionSector,About the Decision,À propos de la décision,8,8,0,,raw
1.0.0,impact,Impact Assessment,Évaluation de l'incidence,9,52,0,,raw
1.0.0,aboutData,About the Data,À propos des données,10,53,0,,raw
1.0.0,consultationDesign,Consultations,,11,0,10,design,mitigation
1.0.0,consultationImplementation,Consultations,,12,0,10,implementation,mitigation
1.0.0,dataQualityDesign,De-risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,13,0,14,design,mitigation
1.0.0,dataQualityImplementation,De-risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,14,0,14,implementation,mitigation
1.0.0,fairnessDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,15,0,44,design,mitigation
1.0.0,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,0,44,implementation,mitigation
1.0.0,privacyDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,17,0,9,design,mitigation
1.0.0,privacyImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,18,0,9,implementation,mitigation
0.10.0,projectDetails,Project Details,Détails du projet,2,0,0,,none
0.10.0,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,8,0,,raw
0.10.0,riskProfile,Risk Profile,Profil de risque,4,17,0,,raw
0.10.0,projectAuthority,Project Authority,Autorité de projet,5,2,0,,raw
0.10.0,aboutSystem,About The System,À propos du système,6,0,0,,none
0.10.0,aboutAlgorithm,About the Algorithm,À propos de l'algorithme,7,6,0,,raw
0.10.0,decisionSector,About the Decision,À propos de la décision,8,7,0,,raw
0.10.0,impact,Impact Assessment,Évaluation de l'incidence,9,42,0,,raw
0.10.0,aboutData,About the Data,À propos des données,10,44,0,,raw
0.10.0,consultationDesign,Consultations,,11,0,2,design,mitigation
0.10.0,consultationImplementation,Consultations,,12,0,2,implementation,mitigation
0.10.0,dataQualityDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,13,0,14,design,mitigation
0.10.0,dataQualityImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,14,0,14,implementation,mitigation
0.10.0,fairnessDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,15,0,25,design,mitigation
