table,file,schema_version,column_count,row_count,columns
answers,answers.csv,2.0,15,4035,submission_id|og_record_id|catalog_version|field_name|question_uid|point_type|points|answer_value_raw|option_index|answer_text_en|answer_text_fr|is_free_text|translation_source|mapped|shown
catalog_versions,catalog_versions.csv,2.0,13,10,catalog_version|git_ref|question_count|scored_question_count|section_count|max_raw|max_mitigation|max_mitigation_design|max_mitigation_implementation|max_mitigation_if_summed|mitigation_threshold|unclassified_questions|source_url
crosswalk_gaps,crosswalk_gaps.csv,2.0,9,0,gap_type|og_record_id|system_name_en|department_en|service_id|service_name_en|match_confidence|reason|candidate
departments,departments.csv,2.0,4,102,department_code|name_en|name_fr|first_seen_version
og_records,og_records.csv,2.0,16,39,og_record_id|title_en|title_fr|department_en|department_fr|department_code|record_released|record_modified|date_published|keywords|homepage|portal_url_en|portal_url_fr|resource_count|submission_count_estimate|has_json
og_resources,og_resources.csv,2.0,11,165,resource_id|og_record_id|resource_name|format|language|resource_type|submission_label|is_assessment_artifact|download_url|size_bytes|last_modified
option_point_items,option_point_items.csv,2.0,5,409,point_profile_id|option_set_id|option_index|option_value|points
option_points,option_points.csv,2.0,3,86,point_profile_id|option_set_id|points_pattern
option_set_items,option_set_items.csv,2.0,4,333,option_set_id|option_index|text_en|text_fr
option_sets,option_sets.csv,2.0,3,61,option_set_id|option_count|labels
question_map,question_map.csv,2.0,30,1419,field_id|catalog_version|field_name|page_name|section_name_en|section_name_fr|section_order|panel_name|panel_suffix|point_type|mitigation_phase|answer_type|is_mandatory|visible_if|option_count|max_points|text_en|text_fr|guidance_en|guidance_fr|question_uid|parent_field_name|root_field_name|chain_depth|section_uid|match_method|match_score|needs_review|parent_question_uid|root_question_uid
question_options,question_options.csv,2.0,7,996,catalog_version|field_name|field_id|option_set_id|point_profile_id|option_count|max_points
questions,questions.csv,2.0,14,206,question_uid|canonical_text_en|canonical_text_fr|section_uid|point_type|answer_type|first_seen_version|last_seen_version|version_count|field_names|reworded|status|parent_question_uid|is_follow_up
section_versions,section_versions.csv,2.0,12,150,section_uid|catalog_version|page_name|section_name_en|section_name_fr|display_order|point_type|mitigation_phase|max_raw_points|max_mitigation_points|match_method|match_score
sections,sections.csv,2.0,11,27,section_uid|display_name_en|name_en|name_fr|page_name|display_order|point_type|mitigation_phase|first_seen_version|last_seen_version|bridged_with_fuzzy_match
services,services.csv,2.0,12,0,service_id|fiscal_year|service_name_en|owner_org_code|owner_org_en|owner_org_fr|program_id|program_name_en|service_description_en|declares_automation|automation_description_en|service_uri_en
submissions,submissions.csv,2.0,22,40,submission_id|og_record_id|sequence_no|system_ref|submission_label|catalog_version|stated_version|version_source|publication_date|raw_impact_score|mitigation_score|current_score|reduction_applied|current_score_pct|mitigation_pct|impact_level|answer_count|unmapped_answers|source_format|source_file|extraction_method|is_current
system_services,system_services.csv,2.0,11,0,og_record_id|system_ref|service_id|service_name_en|service_fiscal_year|match_confidence|match_rationale|source|review_notes|system_in_master|system_id_at_crosswalk_time
systems,systems.csv,2.0,21,38,og_record_id|system_ref|system_name_en|system_name_fr|department_en|department_fr|department_code|portal_department_code|branch|submission_count|first_submission_label|latest_submission_label|current_submission_id|current_impact_level|current_score_pct|portal_url_en|service_count|service_ids|service_names_en|service_match_confidence|crosswalk_status
