catalog_version,field_name,field_id,option_set_id,point_profile_id,option_count,max_points
0.10.0,aboutAlgorithm1,31,1,1,2,3
0.10.0,aboutAlgorithm2,32,1,1,2,3
0.10.0,aboutDataSource1,57,1,2,2,4
0.10.0,aboutDataSource10,59,1,3,2,2
0.10.0,aboutDataSource11,60,1,4,2,1
0.10.0,aboutDataSource2,62,2,5,5,4
0.10.0,aboutDataSource3,63,3,6,4,3
0.10.0,aboutDataSource4,64,1,2,2,4
0.10.0,aboutDataSource5,65,1,2,2,4
0.10.0,aboutDataSource6,66,1,2,2,4
0.10.0,aboutDataSource7,67,4,7,4,4
0.10.0,aboutDataSource8,68,4,7,4,4
0.10.0,aboutDataSource9,58,1,8,2,4
0.10.0,aboutDataType1,70,1,9,2,0
0.10.0,aboutDataType2,71,5,10,2,4
0.10.0,aboutSystem1,29,6,11,6,0
0.10.0,businessDrivers1,10,7,12,6,0
0.10.0,businessDrivers11,20,8,13,6,3
0.10.0,businessDrivers5,14,9,14,3,2
0.10.0,businessDrivers9,18,1,4,2,1
0.10.0,consultationDesign1,72,1,15,2,1
0.10.0,consultationDesign2,73,10,16,16,0
0.10.0,consultationDesign3,75,1,15,2,1
0.10.0,consultationDesign4,76,11,17,9,0
0.10.0,consultationImplementation1,78,1,15,2,1
0.10.0,consultationImplementation2,79,12,18,16,0
0.10.0,consultationImplementation3,81,1,15,2,1
0.10.0,consultationImplementation4,82,11,17,9,0
0.10.0,dataQualityDesign1,84,1,3,2,2
0.10.0,dataQualityDesign10,93,1,3,2,2
0.10.0,dataQualityDesign2,85,1,15,2,1
0.10.0,dataQualityDesign3,86,1,15,2,1
0.10.0,dataQualityDesign4,87,1,15,2,1
0.10.0,dataQualityDesign5,88,1,15,2,1
0.10.0,dataQualityDesign6,89,1,15,2,1
0.10.0,dataQualityDesign7,90,1,3,2,2
0.10.0,dataQualityDesign8,91,1,3,2,2
0.10.0,dataQualityDesign9,92,1,15,2,1
0.10.0,dataQualityImplementation1,94,1,3,2,2
0.10.0,dataQualityImplementation10,103,1,3,2,2
0.10.0,dataQualityImplementation2,95,1,15,2,1
0.10.0,dataQualityImplementation3,96,1,15,2,1
0.10.0,dataQualityImplementation4,97,1,15,2,1
0.10.0,dataQualityImplementation5,98,1,15,2,1
0.10.0,dataQualityImplementation6,99,1,15,2,1
0.10.0,dataQualityImplementation7,100,1,3,2,2
0.10.0,dataQualityImplementation8,101,1,3,2,2
0.10.0,dataQualityImplementation9,102,1,15,2,1
0.10.0,decisionSector1,34,13,19,7,1
0.10.0,fairnessDesign1,104,1,15,2,1
0.10.0,fairnessDesign10,113,1,3,2,2
0.10.0,fairnessDesign11,114,1,15,2,1
0.10.0,fairnessDesign12,115,1,15,2,1
0.10.0,fairnessDesign13,116,1,3,2,2
0.10.0,fairnessDesign14,117,1,3,2,2
0.10.0,fairnessDesign15,118,1,15,2,1
0.10.0,fairnessDesign16,119,1,3,2,2
0.10.0,fairnessDesign17,120,1,15,2,1
0.10.0,fairnessDesign2,105,1,3,2,2
0.10.0,fairnessDesign3,106,1,3,2,2
0.10.0,fairnessDesign4,107,1,15,2,1
0.10.0,fairnessDesign5,108,1,3,2,2
0.10.0,fairnessDesign6,109,1,15,2,1
0.10.0,fairnessDesign7,110,1,15,2,1
0.10.0,fairnessDesign8,111,1,3,2,2
0.10.0,fairnessDesign9,112,1,15,2,1
0.10.0,fairnessImplementation1,121,1,15,2,1
0.10.0,fairnessImplementation10,130,1,3,2,2
0.10.0,fairnessImplementation11,131,1,15,2,1
0.10.0,fairnessImplementation12,132,1,15,2,1
0.10.0,fairnessImplementation13,133,1,3,2,2
0.10.0,fairnessImplementation14,134,1,3,2,2
0.10.0,fairnessImplementation15,135,1,15,2,1
0.10.0,fairnessImplementation16,136,1,3,2,2
0.10.0,fairnessImplementation17,137,1,15,2,1
0.10.0,fairnessImplementation2,122,1,3,2,2
0.10.0,fairnessImplementation3,123,1,3,2,2
0.10.0,fairnessImplementation4,124,1,15,2,1
0.10.0,fairnessImplementation5,125,1,3,2,2
0.10.0,fairnessImplementation6,126,1,15,2,1
0.10.0,fairnessImplementation7,127,1,15,2,1
0.10.0,fairnessImplementation8,128,1,3,2,2
0.10.0,fairnessImplementation9,129,1,15,2,1
0.10.0,impact11,51,14,20,4,4
0.10.0,impact13,53,14,20,4,4
0.10.0,impact15,55,14,20,4,4
0.10.0,impact22,41,1,3,2,2
0.10.0,impact24,49,14,20,4,4
0.10.0,impact3,38,1,2,2,4
0.10.0,impact30,36,15,21,2,4
0.10.0,impact5,43,1,2,2,4
0.10.0,impact6,44,16,22,4,4
0.10.0,impact7,45,17,23,4,4
0.10.0,impact9,47,14,20,4,4
0.10.0,privacyDesign1,138,1,15,2,1
0.10.0,privacyDesign2,141,1,15,2,1
0.10.0,privacyDesign3,142,1,15,2,1
0.10.0,privacyDesign4,143,1,15,2,1
0.10.0,privacyDesign7,144,1,15,2,1
0.10.0,privacyImplementation1,146,1,15,2,1
0.10.0,privacyImplementation2,149,1,15,2,1
0.10.0,privacyImplementation3,150,1,15,2,1
0.10.0,privacyImplementation4,151,1,15,2,1
0.10.0,privacyImplementation7,152,1,15,2,1
0.10.0,projectAuthority1,28,1,3,2,2
0.10.0,projectDetailsDepartment-NS,3,DEPARTMENTS,,101,0
0.10.0,projectDetailsPhase,8,18,24,2,0
0.10.0,riskProfile1,22,1,1,2,3
0.10.0,riskProfile2,23,1,1,2,3
0.10.0,riskProfile3,24,1,2,2,4
0.10.0,riskProfile4,25,1,1,2,3
0.10.0,riskProfile5,26,1,2,2,4
0.3,department,3,DEPARTMENTS,,101,0
0.3,question10,11,19,25,6,1
0.3,question11,13,1,26,2,0
0.3,question14,21,20,27,4,0
0.3,question16,23,20,27,4,0
0.3,question18,25,20,27,4,0
0.3,question20,16,16,28,4,0
0.3,question21,17,21,29,4,0
0.3,question22,19,20,27,4,0
0.3,question24,27,1,26,2,0
0.3,question25,28,2,30,5,0
0.3,question26,29,3,31,4,0
0.3,question27,30,1,26,2,0
0.3,question28,31,1,26,2,0
0.3,question29,32,1,26,2,0
0.3,question30,33,4,32,4,0
0.3,question31,34,4,32,4,0
0.3,question32,35,1,26,2,0
0.3,question33,36,22,33,2,0
0.3,question34,37,23,34,2,0
0.3,question35,38,23,35,2,0
0.3,question36,39,23,35,2,0
0.3,question37,40,23,34,2,0
0.3,question38,41,23,34,2,0
0.3,question39,42,23,34,2,0
0.3,question40,43,23,34,2,0
0.3,question41,44,23,34,2,0
0.3,question42,45,23,35,2,0
0.3,question43,46,23,35,2,0
0.3,question44,47,23,34,2,0
0.3,question45,48,23,35,2,0
0.3,question46,49,23,35,2,0
0.3,question47,50,23,34,2,0
0.3,question48,51,23,34,2,0
0.3,question49,52,23,35,2,0
0.3,question50,53,23,34,2,0
0.3,question51,54,23,35,2,0
0.3,question7,7,24,36,6,1
0.3,question8,15,1,26,2,0
0.3,question9,9,25,37,6,1
0.4,capabilities,9,26,38,6,1
0.4,department-NS,3,DEPARTMENTS,,101,0
0.4,discretion,13,1,2,2,4
0.4,motivation,7,24,36,6,1
0.4,question14,21,20,27,4,0
0.4,question16,23,20,27,4,0
0.4,question18,25,20,27,4,0
0.4,question20,16,16,28,4,0
0.4,question21,17,17,39,4,0
0.4,question22,19,20,27,4,0
0.4,question24,27,1,26,2,0
0.4,question25,28,2,30,5,0
0.4,question26,29,3,31,4,0
0.4,question27,30,1,26,2,0
0.4,question28,31,1,26,2,0
0.4,question29,32,1,26,2,0
0.4,question30,33,4,32,4,0
0.4,question31,34,4,32,4,0
0.4,question32,35,1,9,2,0
0.4,question33,36,22,40,2,4
0.4,question34,37,23,34,2,0
0.4,question35,38,23,35,2,0
0.4,question36,39,23,35,2,0
0.4,question37,40,23,34,2,0
0.4,question38,41,23,34,2,0
0.4,question39,42,23,34,2,0
0.4,question40,43,23,34,2,0
0.4,question41,44,23,34,2,0
0.4,question42,45,23,35,2,0
0.4,question43,46,23,35,2,0
0.4,question44,47,23,34,2,0
0.4,question45,48,23,35,2,0
0.4,question46,49,23,35,2,0
0.4,question47,50,23,34,2,0
0.4,question48,51,23,34,2,0
0.4,question49,52,23,35,2,0
0.4,question50,53,23,34,2,0
0.4,question51,54,23,35,2,0
0.4,question8,15,1,26,2,0
0.4,sector-categories,11,19,25,6,1
0.5,about-algorithm1,19,1,1,2,3
0.5,about-algorithm2,20,1,1,2,3
0.5,business1,10,27,41,6,1
0.5,consultation-design1,49,1,15,2,1
0.5,consultation-design2-NS,50,28,42,7,0
0.5,consultation-design3,51,1,15,2,1
0.5,consultation-design4-NS,52,29,43,3,0
0.5,consultation-implementation1,53,1,15,2,1
0.5,consultation-implementation2-NS,54,28,42,7,0
0.5,consultation-implementation3,55,1,15,2,1
0.5,consultation-implementation4-NS,56,29,43,3,0
0.5,department-NS,3,DEPARTMENTS,,101,0
0.5,discretion,25,1,2,2,4
0.5,mitigation-makePublic,58,1,9,2,0
0.5,project-authority1,16,1,3,2,2
0.5,project-phase,8,30,44,2,0
0.5,question1,67,1,45,2,0
0.5,question10,91,1,46,2,0
0.5,question11,92,1,46,2,0
0.5,question12,93,1,45,2,0
0.5,question14,33,20,27,4,0
0.5,question16,35,20,27,4,0
0.5,question18,37,20,27,4,0
0.5,question2,69,1,46,2,0
0.5,question20,28,16,28,4,0
0.5,question21,29,17,39,4,0
0.5,question22,31,20,27,4,0
0.5,question24,39,1,26,2,0
0.5,question25,40,2,30,5,0
0.5,question26,41,3,31,4,0
0.5,question27,42,1,26,2,0
0.5,question28,43,1,26,2,0
0.5,question29,44,1,26,2,0
0.5,question3,71,1,46,2,0
0.5,question30,45,4,32,4,0
0.5,question31,46,4,32,4,0
0.5,question32,47,1,9,2,0
0.5,question33,48,22,40,2,4
0.5,question35,59,1,46,2,0
0.5,question36,61,1,46,2,0
0.5,question37,63,1,45,2,0
0.5,question38,64,1,45,2,0
0.5,question39,66,1,45,2,0
0.5,question4,73,1,45,2,0
0.5,question40,77,1,45,2,0
0.5,question41,78,1,45,2,0
0.5,question42,79,1,46,2,0
0.5,question43,80,1,46,2,0
0.5,question44,81,1,45,2,0
0.5,question45,82,1,46,2,0
0.5,question46,83,1,46,2,0
0.5,question47,84,1,45,2,0
0.5,question48,85,1,45,2,0
0.5,question49,86,1,46,2,0
0.5,question5,74,1,45,2,0
0.5,question50,87,1,45,2,0
0.5,question51,88,1,46,2,0
0.5,question52,94,1,46,2,0
0.5,question53,95,1,46,2,0
0.5,question54,96,1,45,2,0
0.5,question55,97,1,45,2,0
0.5,question56,98,1,46,2,0
0.5,question57,99,1,45,2,0
0.5,question58,100,1,46,2,0
0.5,question59,60,1,9,2,0
0.5,question6,76,1,45,2,0
0.5,question60,62,1,9,2,0
0.5,question61,65,1,9,2,0
0.5,question62,68,1,9,2,0
0.5,question63,70,1,9,2,0
0.5,question64,72,1,9,2,0
0.5,question65,75,1,9,2,0
0.5,question66,23,1,15,2,1
0.5,question67,24,1,1,2,3
0.5,question7,89,1,45,2,0
0.5,question8,27,1,26,2,0
0.5,question9,90,1,45,2,0
0.5,risk-profile1,12,1,1,2,3
0.5,risk-profile2,13,1,1,2,3
0.5,risk-profile3,14,1,2,2,4
0.5,risk-profile4,15,1,1,2,3
0.5,rm-data-qual1,57,1,45,2,0
0.5,sector-categories,21,31,47,6,1
0.5,system1,17,26,38,6,1
0.6,aboutAlgorithm1,19,1,1,2,3
0.6,aboutAlgorithm2,20,1,1,2,3
0.6,aboutDataSource1,39,1,2,2,4
0.6,aboutDataSource2,40,2,5,5,4
0.6,aboutDataSource3,41,3,6,4,3
0.6,aboutDataSource4,42,1,2,2,4
0.6,aboutDataSource5,43,1,2,2,4
0.6,aboutDataSource6,44,1,2,2,4
0.6,aboutDataSource7,45,4,7,4,4
0.6,aboutDataSource8,46,4,7,4,4
0.6,aboutDataType1,47,1,9,2,0
0.6,aboutDataType2,48,22,40,2,4
0.6,aboutSystem1,17,26,38,6,1
0.6,businessDrivers1,10,27,48,6,0
0.6,consultationDesign1,49,1,15,2,1
0.6,consultationDesign2-NS,50,28,42,7,0
0.6,consultationDesign3,51,1,15,2,1
0.6,consultationDesign4-NS,52,29,43,3,0
0.6,consultationImplementation1,53,1,15,2,1
0.6,consultationImplementation2-NS,54,28,42,7,0
0.6,consultationImplementation3,55,1,15,2,1
0.6,consultationImplementation4-NS,56,29,43,3,0
0.6,dataQualityDesign1,57,1,3,2,2
0.6,dataQualityDesign10,66,1,45,2,0
0.6,dataQualityDesign2,58,1,15,2,1
0.6,dataQualityDesign3,59,1,15,2,1
0.6,dataQualityDesign4,60,1,15,2,1
0.6,dataQualityDesign5,61,1,46,2,0
0.6,dataQualityDesign6,62,1,15,2,1
0.6,dataQualityDesign7,63,1,3,2,2
0.6,dataQualityDesign8,64,1,45,2,0
0.6,dataQualityDesign9,65,1,15,2,1
0.6,dataQualityImplementation1,67,1,3,2,2
0.6,dataQualityImplementation10,76,1,3,2,2
0.6,dataQualityImplementation2,68,1,9,2,0
0.6,dataQualityImplementation3,69,1,15,2,1
0.6,dataQualityImplementation4,70,1,9,2,0
0.6,dataQualityImplementation5,71,1,15,2,1
0.6,dataQualityImplementation6,72,1,9,2,0
0.6,dataQualityImplementation7,73,1,3,2,2
0.6,dataQualityImplementation8,74,1,3,2,2
0.6,dataQualityImplementation9,75,1,9,2,0
0.6,decisionSector1,21,31,47,6,1
0.6,fairnessDesign1,77,1,3,2,2
0.6,fairnessDesign10,86,1,15,2,1
0.6,fairnessDesign11,87,1,3,2,2
0.6,fairnessDesign12,88,1,15,2,1
0.6,fairnessDesign2,78,1,3,2,2
0.6,fairnessDesign3,79,1,15,2,1
0.6,fairnessDesign4,80,1,15,2,1
